,RateRatio,CPIRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,Crude Oil Future,Baltic Dry Index,Copper Future,FTSE EUROTOP 100 index,prediction,actual,,,
57,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.071421817,0.915518944,-2.251746103,-0.753933849,-1.682634265,-0.69766046,-0.06120175,1.0524979,1.0738,,1.086844455,
58,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.152741676,0.915518944,-2.298752487,-0.807602461,-1.691999025,-0.998914496,-0.275456076,1.0473907,1.0732,,1.077839087,
59,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.04714148,0.915518944,-2.48580963,-0.813842997,-1.675350564,-1.246764406,-0.595764521,1.0430794,1.0647,,1.068157252,
60,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.129617546,0.915518944,-2.377054192,-0.865639448,-1.644134698,-1.46175024,-0.472713448,1.041749,1.0524,,1.06838764,
61,2.442882675,-3.61449843,-0.358677923,-1.403568202,-0.235391531,1.074986787,0.915518944,-2.427901562,-0.610401515,-1.567135564,-1.389175405,-0.222059246,1.0455738,1.0603,,1.074668993,
62,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.688139355,1.052467296,-2.371585285,-0.402591657,-0.49056716,-1.280997819,-0.833627862,1.0653865,1.055,,1.052848292,
63,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.663280915,1.052467296,-2.363364216,-0.518665631,-0.49056716,-1.238548387,-0.710914015,1.066647,1.0706,,1.058147037,
64,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.647575776,1.052467296,-2.550949831,-0.483718628,-0.49056716,-1.208422984,-0.863483918,1.0654795,1.0662,,1.055771665,
65,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.682165621,1.052467296,-2.451816693,-0.448147572,-0.49056716,-1.204314974,-0.810423537,1.0660208,1.0612,,1.055797431,
66,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.58273186,1.052467296,-2.349354748,-0.446275411,-1.291395422,-1.287844502,-0.860988829,1.0580453,1.0642,,1.047888291,
67,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.555175605,1.052467296,-2.364758362,-0.575454512,-1.150924028,-1.428886164,-0.870271679,1.0576892,1.0618,,1.048422437,
68,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.749611002,1.052467296,-2.199521589,-0.525530221,-1.074965423,-1.279628483,-0.731351808,1.0616064,1.0597,,1.051739136,
69,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.754428529,1.052467296,-2.314466383,-0.662822019,-1.207112586,-1.302907204,-0.927259754,1.0577738,1.0607,,1.047825671,
70,2.299578832,-5.989848183,-0.387449726,-1.275184694,0.104483321,0.503724415,1.052467296,-2.315231464,-0.718986846,-1.25705797,-1.342617963,-0.90487687,1.0573221,1.0624,,1.049150132,
