RateRatio,CPIRatio,GDPRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,US TREASURY EURODOLLAR SPREAD,Crude Oil Future,Baltic Dry Index,Copper Future,Housing Starts,FTSE EUROTOP 100 index,Date,lagSpot
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.461900733,-0.047744239,1.081621777,-0.464946458,-0.972976672,-0.480823456,0.177345578,1.318198078,0.57298966,2021/12/21,1.1327
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.435693385,-0.047744239,0.826493751,-0.436100072,-1.153328171,-0.400702735,0.040411925,1.318198078,0.349815222,2021/12/20,1.1287
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.321036238,-0.047744239,0.960197179,-0.320521573,-0.989202067,-0.392378504,0.048627945,1.318198078,0.518137345,2021/12/17,1.1279
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.432513817,-0.047744239,0.967814685,-0.431951595,-0.894345915,-0.268555572,0.074645339,1.318198078,0.73090888,2021/12/16,1.1243
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.562876103,-0.047744239,1.240656442,-0.570973812,-0.988578013,-0.094787256,-0.2567341,1.318198078,0.464435084,2021/12/15,1.1332
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.583302418,-0.047744239,1.00833914,-0.584673434,-0.997314764,0.183033944,-0.052702958,1.318198078,0.393262655,2021/12/14,1.1289
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.481941646,-0.047744239,1.132765262,-0.477681318,-0.962367761,0.478544135,0.018502541,1.318198078,0.531314031,2021/12/13,1.1261
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.551892141,-0.047744239,1.286715685,-0.549459618,-0.938653723,0.53681375,0.02671856,1.318198078,0.630547172,2021/12/10,1.1286
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.591877616,-0.047744239,1.206501988,-0.589690197,-0.984209638,0.610691297,0.155436193,1.318198078,0.625321638,2021/12/9,1.1315
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.59072141,-0.047744239,1.397501419,-0.58631353,-0.895594023,0.693933604,0.322495249,1.318198078,0.731922212,2021/12/8,1.1294
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.480592739,-0.047744239,1.326609658,-0.476137699,-0.914939685,0.620056057,0.177345578,1.318198078,0.704875875,2021/12/7,1.1343
